,codigo_establecimiento,codigo_ss,nombre_ss,nombre_establecimiento,nombre_comuna
2439,114301.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto
2440,114801.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU Dr. Alejandro del Río,Puente Alto
2441,114215.0,13.0,SEREMI Metropolitana de Santiago,Centro Vida Integra de Puente Alto,Puente Alto
2442,200325.0,13.0,SEREMI Metropolitana de Santiago,Centro Odontológico Uno Salud Dental Hernando de Aguirre,Providencia
2443,114235.0,13.0,SEREMI Metropolitana de Santiago,Laboratorio Medicina Nuclear Sur Ltda,Puente Alto
2444,200087.0,13.0,SEREMI Metropolitana de Santiago,Vacunatorio Home Nursing,Puente Alto
2445,114234.0,13.0,SEREMI Metropolitana de Santiago,Centro de Salud Mutual CChC Puente Alto,Puente Alto
2446,114229.0,13.0,SEREMI Metropolitana de Santiago,Centro Asistencial AChS Puente Alto,Puente Alto
2447,110624.0,10.0,Servicio de Salud Metropolitano Occidente,COSAM Peñaflor,Peñaflor
2448,200377.0,13.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Las Hortensias,San Bernardo
2449,106319.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro de Salud Familiar Barrancas,San Antonio
2450,200106.0,6.0,Servicio de Salud Valparaíso San Antonio,SAPU Barrancas,San Antonio
2451,200795.0,5.0,SEREMI De Valparaíso,Centro de Diálisis Diamar Ltda.,San Antonio
2452,113830.0,13.0,Servicio de Salud Metropolitano Sur,SAPU Raúl Brañes F.,San Bernardo
2453,113330.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Raúl Brañes F.,San Bernardo
2454,106260.0,5.0,SEREMI De Valparaíso,Consultorio Prefectura de Carabineros San Antonio,San Antonio
2455,113313.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo),San Bernardo
2456,106333.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro de Salud Familiar 30 de Marzo,San Antonio
2457,113813.0,13.0,Servicio de Salud Metropolitano Sur,SAPU Raúl Cuevas (Ex San Bernardo),San Bernardo
2458,113238.0,13.0,SEREMI Metropolitana de Santiago,Clínica Santa Lucía,San Bernardo
2459,114329.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto
2460,114327.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS,La Pintana
2461,200649.0,13.0,SEREMI Metropolitana de Santiago,Centro Odontológico Uno Salud Dental Independencia,Independencia
2462,200984.0,13.0,SEREMI Metropolitana de Santiago,Laboratorio Scala,San Bernardo
2463,106261.0,5.0,SEREMI De Valparaíso,Policlínico de la Asociación Chilena de Seguridad AChS. Agencia San Antonio,San Antonio
2464,200237.0,13.0,SEREMI Metropolitana de Santiago, MEDICAL POLICENTER SAN BERNARDO,San Bernardo
2465,113190.0,13.0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
2466,113239.0,13.0,SEREMI Metropolitana de Santiago,Centro Vida Integra de San Bernardo,San Bernardo
2467,200089.0,13.0,SEREMI Metropolitana de Santiago,Integramédica Santa Lucía,San Bernardo
2468,113259.0,13.0,SEREMI Metropolitana de Santiago,Macromédica,San Bernardo
2469,114407.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Posta de Salud Rural Las Vertientes,San José de Maipo
2470,114332.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Laurita Vicuña,Puente Alto
2471,113235.0,13.0,SEREMI Metropolitana de Santiago,Centro de Salud Mutual CChC San Bernardo,San Bernardo
2472,113394.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar El Manzano,San Bernardo
2473,200502.0,5.0,SEREMI De Valparaíso,Policlínico Instituto de Seguridad del Trabajo de San Antonio,San Antonio
