,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
7323,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109420,04040421,13,13301,1,,,1,,,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Chacabuco (Colina),Colina
7324,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109418,09600289,13,13301,3,,1,2,,,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Las Canteras,Colina
7325,Consulta de Lactancia por profesional  - Nutricionista ,9,109418,04040426,13,13301,2,,,2,,,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Las Canteras,Colina
7326,Consulta de Lactancia por profesional  - Enfermera/o,9,109420,04040425,13,13301,2,,1,1,,,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Chacabuco (Colina),Colina
7327,Consulta de Lactancia por profesional  - Enfermera/o,9,109418,04040425,13,13301,1,,1,,,,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Las Canteras,Colina
7328,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109416,09600287,13,13301,1,0,0,0,0,1,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Colorado,Colina
7329,Consulta de Lactancia por profesional  - Enfermera/o,9,109416,04040425,13,13301,1,0,0,0,0,1,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Colorado,Colina
7330,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109418,09600289,13,13301,1,,,1,,,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Las Canteras,Colina
7331,Consulta de Lactancia por profesional  - Nutricionista ,9,109418,04040426,13,13301,1,,,1,,,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Las Canteras,Colina
7332,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109420,09600287,13,13301,1,,,,,1,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Chacabuco (Colina),Colina
7333,Consulta de Lactancia por profesional  - Enfermera/o,9,109420,04040425,13,13301,1,,,,,1,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Chacabuco (Colina),Colina
7334,Consulta de Lactancia por profesional  - Enfermera/o,9,109418,04040425,13,13301,1,,1,,,,0,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Las Canteras,Colina
7335,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109418,09600289,13,13301,1,,1,,,,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Las Canteras,Colina
7336,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,9,3,4,1,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7337,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,31,4,10,12,5,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7338,Consulta de Lactancia por profesional  - Nutricionista ,9,109316,04040426,13,13301,2,0,0,0,2,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7339,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,5,4,1,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7340,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,47,4,17,19,7,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7341,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,4,4,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7342,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,36,1,20,9,6,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7343,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,25,1,13,6,5,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7344,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,6,1,3,2,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
