,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
44,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,9,13,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
45,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,21,54,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
46,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,10,0,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
47,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,3,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén,112101,13122,12
48,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,148,36,10,37,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
49,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,119,,6,32,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
50,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,6,4,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
51,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,72,0,9,27,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
52,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,39,8,2,26,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
53,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,215,59,1,230,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
