,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
255,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,120,58,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
256,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,100,4,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
257,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,5,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
258,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,9,52,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
259,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,98,28,0,5,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
260,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,81,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
261,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,0,3,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
262,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,17,23,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
263,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
264,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
265,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,93,42,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
266,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,82,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
267,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,7,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
268,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,11,37,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
269,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,4,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
270,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,106,58,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
271,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,79,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
272,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,10,5,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
273,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,98,49,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
274,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,8,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo,113180,13401,13
275,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,89,11,0,3,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
276,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,78,0,0,2,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
277,RN egresados que recuperaron LME al alta,13,113190,24311025,13,13401,0,7,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
278,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,11,3,0,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
279,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113190,24311027,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
280,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,14,,0,2,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
281,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,195,,0,51,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
282,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,168,,0,47,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
283,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,26,,0,3,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
284,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,1,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
285,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,179,,0,43,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
286,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,155,,0,34,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
287,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,23,,0,8,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
288,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,1,,0,1,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
289,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,14,,0,2,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
290,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110120,24311027,13,13126,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
291,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,180,,0,55,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
292,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,164,,0,53,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
293,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,192,,0,55,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
294,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,152,,0,41,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
295,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,40,,0,14,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
296,RN egresados con LME durante hospitalización y al alta,10,110120,24300103,13,13126,152,,0,44,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
297,RN egresados con lactancia mixta al alta,10,110120,24311026,13,13126,4,,0,1,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
298,Total de recién nacidos/as egresados/as,10,110120,24200134,13,13126,156,,0,45,Servicio de Salud Metropolitano Occidente,Hospital  Félix Bulnes Cerda,Cerro Navia,110120,13126,10
299,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,70,29,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
300,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,68,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
301,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,0,18,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
302,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,2,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
303,RN egresados solo fórmula por protección o madre grave,10,110150,24311028,13,13501,0,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
304,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110150,24311027,13,13501,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
305,RN egresados solo fórmula por protección o madre grave,10,110150,24311028,13,13501,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
306,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,83,14,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
307,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,81,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
308,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,0,8,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
309,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,2,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
310,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,62,18,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
311,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,58,16,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
312,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
313,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,4,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
314,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110150,24311027,13,13501,1,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
315,RN egresados solo fórmula por protección o madre grave,10,110150,24311028,13,13501,1,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
316,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
317,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,0,14,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
318,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,69,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
319,RN egresados con lactancia mixta al alta,10,110150,24311026,13,13501,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
320,RN egresados que recuperaron LME al alta,10,110150,24311025,13,13501,0,14,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
321,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,70,14,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
322,Total de recién nacidos/as egresados/as,10,110150,24200134,13,13501,72,17,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
323,RN egresados con LME durante hospitalización y al alta,10,110150,24300103,13,13501,69,14,0,0,Servicio de Salud Metropolitano Occidente,Hospital San José (Melipilla),Melipilla,110150,13501,10
324,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,92,,0,4,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
325,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,73,,0,2,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
326,RN egresados que recuperaron LME al alta,13,113190,24311025,13,13401,5,,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
327,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,95,4,7,5,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
328,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,85,0,6,4,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
329,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,10,0,1,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
330,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,78,,0,2,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
331,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,58,,0,2,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
332,RN egresados que recuperaron LME al alta,13,113190,24311025,13,13401,30,,0,2,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
333,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,4,,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
334,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,73,12,1,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
335,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,57,0,1,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
336,RN egresados que recuperaron LME al alta,13,113190,24311025,13,13401,10,4,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
337,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,12,8,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo,113190,13401,13
338,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,81,7,0,13,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
339,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,68,0,0,12,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
340,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,2,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
341,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
342,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
343,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,9,6,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
344,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,66,0,0,9,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
345,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,12,9,0,3,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
346,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
347,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,0,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
348,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,79,11,0,13,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
349,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,72,11,0,14,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
350,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,63,0,0,12,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
351,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,0,4,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
352,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,7,7,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
353,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
354,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
355,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
356,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,62,0,0,10,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
357,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,6,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
358,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,5,5,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
359,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,1,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
360,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,61,6,0,7,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
361,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,55,0,0,6,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
362,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,69,4,0,10,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
363,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante,110130,13601,10
364,RN egresados con lactancia mixta al alta,13,113150,24311026,13,13402,6,7,0,1,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
365,Total de recién nacidos/as egresados/as,13,113150,24200134,13,13402,51,5,5,19,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
366,RN egresados con LME durante hospitalización y al alta,13,113150,24300103,13,13402,43,0,3,18,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
367,RN egresados que recuperaron LME al alta,13,113150,24311025,13,13402,4,0,0,0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
368,RN egresados con lactancia mixta al alta,13,113150,24311026,13,13402,3,5,2,1,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
369,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113150,24311027,13,13402,1,0,0,0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
370,Total de recién nacidos/as egresados/as,13,113150,24200134,13,13402,42,12,0,12,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
371,RN egresados con LME durante hospitalización y al alta,13,113150,24300103,13,13402,35,3,0,11,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
372,RN egresados que recuperaron LME al alta,13,113150,24311025,13,13402,1,0,0,0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
373,Total de recién nacidos/as egresados/as,13,113150,24200134,13,13402,58,6,0,18,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
374,RN egresados con LME durante hospitalización y al alta,13,113150,24300103,13,13402,50,0,0,15,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
375,RN egresados que recuperaron LME al alta,13,113150,24311025,13,13402,3,2,0,1,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
376,RN egresados con lactancia mixta al alta,13,113150,24311026,13,13402,4,4,0,2,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
377,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113150,24311027,13,13402,1,0,0,0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
378,Total de recién nacidos/as egresados/as,13,113150,24200134,13,13402,61,8,5,22,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
379,RN egresados con LME durante hospitalización y al alta,13,113150,24300103,13,13402,55,0,4,21,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
380,RN egresados que recuperaron LME al alta,13,113150,24311025,13,13402,4,4,1,1,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
381,RN egresados con lactancia mixta al alta,13,113150,24311026,13,13402,0,3,0,0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
382,RN egresados solo fórmula por protección o madre grave,13,113150,24311028,13,13402,2,,0,0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
383,Total de recién nacidos/as egresados/as,13,113150,24200134,13,13402,63,19,2,15,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
384,RN egresados con LME durante hospitalización y al alta,13,113150,24300103,13,13402,56,1,2,12,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
385,RN egresados que recuperaron LME al alta,13,113150,24311025,13,13402,4,8,1,4,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
386,RN egresados con lactancia mixta al alta,13,113150,24311026,13,13402,3,7,0,4,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
387,RN egresados solo fórmula por protección o madre grave,13,113150,24311028,13,13402,0,1,0,0,Servicio de Salud Metropolitano Sur,Hospital San Luis (Buin),Buin,113150,13402,13
388,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,8,,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
389,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,7,,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
390,RN egresados que recuperaron LME al alta,10,110140,24311025,13,13605,1,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
391,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
392,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,2,,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
393,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
394,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,6,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
395,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,6,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
396,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,2,,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
397,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,6,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
398,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,6,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor,110140,13605,10
399,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,22,30,3,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
400,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,2,1,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
401,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,10,40,0,38,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
402,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,139,47,5,37,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
