,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Col01,Col02,Col03,1° mes,3° mes,6° mes,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación
5429780,8,14,2024,114329,A0200001,13,13201,69.0,13.0,0.0,10.0,16.0,15.0,8.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,MENORES CONTROLADOS
5430385,7,14,2024,114329,A0200002,13,13201,27.0,8.0,0.0,12.0,7.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5430390,7,14,2024,114329,A0200001,13,13201,82.0,14.0,0.0,22.0,10.0,6.0,15.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,MENORES CONTROLADOS
5430531,4,14,2024,114320,A0200002,13,13201,52.0,20.0,2.0,14.0,0.0,16.0,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5430680,11,14,2024,114332,A0200002,13,13201,35.0,7.0,2.0,4.0,2.0,20.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Laurita Vicuña,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5430686,11,14,2024,114332,A0200001,13,13201,74.0,9.0,2.0,7.0,7.0,34.0,11.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Laurita Vicuña,Puente Alto,MENORES CONTROLADOS
5431026,8,14,2024,114301,A0200002,13,13201,67.0,22.0,3.0,10.0,13.0,19.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5431032,8,14,2024,114301,A0200001,13,13201,173.0,31.0,7.0,39.0,25.0,42.0,21.0,8.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,MENORES CONTROLADOS
5431832,2,14,2024,114313,A0200002,13,13201,42.0,10.0,2.0,6.0,5.0,19.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5431877,2,14,2024,114313,A0200001,13,13201,76.0,12.0,2.0,11.0,10.0,24.0,9.0,8.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto,MENORES CONTROLADOS
5432827,2,14,2024,114329,A0200001,13,13201,52.0,,,6.0,18.0,10.0,7.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,MENORES CONTROLADOS
5432903,2,14,2024,114329,A0200002,13,13201,16.0,,,4.0,7.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5433000,1,14,2024,114301,A0200002,13,13201,98.0,28.0,3.0,22.0,13.0,32.0,,,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5433153,1,14,2024,114320,A0200002,13,13201,51.0,16.0,3.0,17.0,0.0,15.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5433168,2,14,2024,114320,A0200001,13,13201,102.0,21.0,2.0,30.0,0.0,36.0,8.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto,MENORES CONTROLADOS
5433302,2,14,2024,114320,A0200002,13,13201,49.0,14.0,1.0,19.0,0.0,15.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5433686,1,14,2024,114320,A0200001,13,13201,96.0,21.0,4.0,24.0,,33.0,9.0,5.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto,MENORES CONTROLADOS
5434104,1,14,2024,114313,A0200001,13,13201,88.0,11.0,5.0,16.0,11.0,19.0,13.0,13.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto,MENORES CONTROLADOS
