,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
39,1,14,202041,A0200001,13,13110,1,2,1,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida,MENORES CONTROLADOS,202041,13110,14
40,3,9,109303,A0200001,13,13127,19,9,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta,MENORES CONTROLADOS,109303,13127,09
41,1,9,109104,A0200002,13,13303,0,0,0,Servicio de Salud Metropolitano Norte,Hospital de Til Til,Tiltil,LACTANCIA MATERNA EXCLUSIVA,109104,13303,09
42,3,9,109304,A0200002,13,13127,7,7,7,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109304,13127,09
43,2,12,112306,A0200002,13,13114,7,2,7,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Aníbal Ariztía,Las Condes,LACTANCIA MATERNA EXCLUSIVA,112306,13114,12
44,1,12,112310,A0200001,13,13120,20,17,13,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Rosita Renard,Ñuñoa,MENORES CONTROLADOS,112310,13120,12
45,1,9,109716,A0200001,13,13301,4,1,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Esmeralda,Colina,MENORES CONTROLADOS,109716,13301,09
46,2,9,109716,A0200002,13,13301,1,1,,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Esmeralda,Colina,LACTANCIA MATERNA EXCLUSIVA,109716,13301,09
47,2,12,112316,A0200001,13,13122,13,7,12,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Carol Urzúa Ibáñez,Peñalolén,MENORES CONTROLADOS,112316,13122,12
48,2,9,109716,A0200001,13,13301,2,1,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Esmeralda,Colina,MENORES CONTROLADOS,109716,13301,09
49,2,9,109310,A0200002,13,13301,20,14,12,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Colina,Colina,LACTANCIA MATERNA EXCLUSIVA,109310,13301,09
50,4,9,109313,A0200002,13,13125,16,26,13,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Irene Frei de Cid,Quilicura,LACTANCIA MATERNA EXCLUSIVA,109313,13125,09
51,3,9,109305,A0200002,13,13107,14,9,6,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba,LACTANCIA MATERNA EXCLUSIVA,109305,13107,09
52,3,9,109305,A0200001,13,13107,18,13,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar La Pincoya,Huechuraba,MENORES CONTROLADOS,109305,13107,09
53,3,9,109304,A0200001,13,13127,8,10,14,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Valdivieso,Recoleta,MENORES CONTROLADOS,109304,13127,09
54,1,12,112799,A0200001,13,13115,3,0,1,Servicio de Salud Metropolitano Oriente,Centro Comunitario de Salud Familiar Bicentenario,Lo Barnechea,MENORES CONTROLADOS,112799,13115,12
55,2,12,112316,A0200002,13,13122,11,6,8,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Carol Urzúa Ibáñez,Peñalolén,LACTANCIA MATERNA EXCLUSIVA,112316,13122,12
56,2,9,200304,A0200002,13,13125,0,1,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Quilicura,LACTANCIA MATERNA EXCLUSIVA,200304,13125,09
57,4,10,110331,A0200002,13,13103,5,5,4,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia,LACTANCIA MATERNA EXCLUSIVA,110331,13103,10
58,4,10,110331,A0200001,13,13103,5,7,12,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia,MENORES CONTROLADOS,110331,13103,10
59,2,10,110331,A0200001,13,13103,5,13,6,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia,MENORES CONTROLADOS,110331,13103,10
60,3,10,110331,A0200001,13,13103,15,5,13,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia,MENORES CONTROLADOS,110331,13103,10
61,3,10,110331,A0200002,13,13103,10,3,5,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia,LACTANCIA MATERNA EXCLUSIVA,110331,13103,10
62,2,10,110331,A0200002,13,13103,4,6,2,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Lo Amor,Cerro Navia,LACTANCIA MATERNA EXCLUSIVA,110331,13103,10
63,3,10,110330,A0200002,13,13103,21,6,9,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Adalberto Steeger,Cerro Navia,LACTANCIA MATERNA EXCLUSIVA,110330,13103,10
64,2,10,110330,A0200002,13,13103,7,9,8,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Dr. Adalberto Steeger,Cerro Navia,LACTANCIA MATERNA EXCLUSIVA,110330,13103,10
65,1,14,202041,A0200002,13,13110,0,2,1,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida,LACTANCIA MATERNA EXCLUSIVA,202041,13110,14
66,3,14,202041,A0200002,13,13110,0,2,1,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida,LACTANCIA MATERNA EXCLUSIVA,202041,13110,14
67,3,14,202041,A0200001,13,13110,1,2,1,Servicio de Salud Metropolitano Sur Oriente,CECOSF Santa Teresa,La Florida,MENORES CONTROLADOS,202041,13110,14
68,2,11,111372,A0200001,13,13101,12,6,7,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Arauco,Santiago,MENORES CONTROLADOS,111372,13101,11
69,5,14,200475,A0200002,13,13110,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida,LACTANCIA MATERNA EXCLUSIVA,200475,13110,14
70,5,14,200475,A0200001,13,13110,2,0,1,Servicio de Salud Metropolitano Sur Oriente,Centro Comunitario de Salud Familiar Las Lomas,La Florida,MENORES CONTROLADOS,200475,13110,14
71,3,9,109390,A0200002,13,13127,8,6,4,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Cristo Vive (ONG),Recoleta,LACTANCIA MATERNA EXCLUSIVA,109390,13127,09
72,1,11,111378,A0200002,13,13119,5,3,8,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Dr. Iván Insunza,Maipú,LACTANCIA MATERNA EXCLUSIVA,111378,13119,11
73,2,11,111378,A0200001,13,13119,10,13,10,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Dr. Iván Insunza,Maipú,MENORES CONTROLADOS,111378,13119,11
74,2,13,113324,A0200001,13,13105,9,9,8,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS,113324,13105,13
