,descripcion_prestacion,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
64859,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,5,13,2024,113717,04040421,13,13105,6.0,1.0,5.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
64860,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,5,13,2024,113717,09600289,13,13105,10.0,1.0,9.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
64861,Consulta de Lactancia por profesional  - Nutricionista ,5,13,2024,113717,04040426,13,13105,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
66607,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,5,13,2024,113324,04040421,13,13105,42.0,11.0,25.0,6.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
66608,Consulta de Lactancia - Otras consultas de Lactancia Materna,5,13,2024,113324,09600287,13,13105,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
66609,Consulta de Lactancia por profesional  - Nutricionista ,5,13,2024,113324,04040426,13,13105,45.0,12.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
67383,Consulta de Lactancia - Consulta Lactancia Materna de alerta,5,14,2024,114331,04040420,13,13110,25.0,12.0,8.0,2.0,3.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67384,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,5,14,2024,114331,04040421,13,13110,7.0,2.0,3.0,0.0,2.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67385,Consulta de Lactancia - Otras consultas de Lactancia Materna,5,14,2024,114331,09600287,13,13110,7.0,2.0,1.0,3.0,1.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67386,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,5,14,2024,114331,09600289,13,13110,17.0,16.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67387,Consulta de Lactancia por profesional  - Matrona/ón,5,14,2024,114331,04040424,13,13110,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67952,Consulta de Lactancia - Consulta Lactancia Materna de alerta,1,9,2024,200347,04040420,13,13104,5.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67953,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,1,9,2024,200347,04040421,13,13104,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67954,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,1,9,2024,200347,09600288,13,13104,2.0,,,,,,2.0,0.0,1.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67955,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,1,9,2024,200347,09600289,13,13104,5.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67956,Consulta de Lactancia por profesional  - Matrona/ón,1,9,2024,200347,04040424,13,13104,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67957,Consulta de Lactancia por profesional  - Nutricionista ,1,9,2024,200347,04040426,13,13104,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
68697,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,3,14,2024,114331,04040421,13,13110,8.0,3.0,5.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
68698,Consulta de Lactancia - Otras consultas de Lactancia Materna,3,14,2024,114331,09600287,13,13110,19.0,10.0,5.0,2.0,2.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
68699,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,3,14,2024,114331,09600289,13,13110,40.0,21.0,7.0,7.0,3.0,2.0,,3.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
68700,Consulta de Lactancia por profesional  - Enfermera/o,3,14,2024,114331,04040425,13,13110,32.0,17.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
69088,Consulta de Lactancia por profesional  - Nutricionista ,12,14,2024,114316,04040426,13,13110,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
70646,Consulta de Lactancia por profesional  - Médico/a,1,14,2024,114316,04040423,13,13110,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
70647,Consulta de Lactancia por profesional  - Matrona/ón,1,14,2024,114316,04040424,13,13110,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
70648,Consulta de Lactancia por profesional  - Enfermera/o,1,14,2024,114316,04040425,13,13110,19.0,9.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
70649,Consulta de Lactancia por profesional  - Nutricionista ,1,14,2024,114316,04040426,13,13110,19.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
70713,Consulta de Lactancia - Consulta Lactancia Materna de alerta,1,14,2024,114316,04040420,13,13110,7.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
70714,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,1,14,2024,114316,04040421,13,13110,27.0,15.0,8.0,3.0,1.0,0.0,,1.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
70715,Consulta de Lactancia - Otras consultas de Lactancia Materna,1,14,2024,114316,09600287,13,13110,12.0,7.0,2.0,3.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
72788,Consulta de Lactancia - Consulta Lactancia Materna de alerta,1,14,2024,114331,04040420,13,13110,4.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
72789,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,1,14,2024,114331,04040421,13,13110,14.0,9.0,5.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
72790,Consulta de Lactancia - Otras consultas de Lactancia Materna,1,14,2024,114331,09600287,13,13110,58.0,13.0,21.0,14.0,9.0,1.0,,1.0,1.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
72791,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,1,14,2024,114331,09600289,13,13110,47.0,35.0,6.0,0.0,6.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
72792,Consulta de Lactancia por profesional  - Enfermera/o,1,14,2024,114331,04040425,13,13110,76.0,26.0,26.0,14.0,9.0,1.0,0.0,2.0,1.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
73184,Consulta de Lactancia - Consulta Lactancia Materna de alerta,7,13,2024,113324,04040420,13,13105,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
73185,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,7,13,2024,113324,04040421,13,13105,81.0,36.0,26.0,13.0,6.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
73186,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,7,13,2024,113324,09600289,13,13105,3.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
73359,Consulta de Lactancia - Consulta Lactancia Materna de alerta,2,13,2024,113717,04040420,13,13105,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
73360,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,2,13,2024,113717,04040421,13,13105,13.0,0.0,13.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
73361,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,2,13,2024,113717,09600289,13,13105,14.0,0.0,14.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
73362,Consulta de Lactancia por profesional  - Nutricionista ,2,13,2024,113717,04040426,13,13105,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
75946,Consulta de Lactancia - Consulta Lactancia Materna de alerta,4,14,2024,114331,04040420,13,13110,11.0,4.0,3.0,4.0,0.0,0.0,,1.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
75947,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,4,14,2024,114331,04040421,13,13110,6.0,4.0,2.0,0.0,0.0,0.0,,1.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
75948,Consulta de Lactancia - Otras consultas de Lactancia Materna,4,14,2024,114331,09600287,13,13110,30.0,16.0,7.0,6.0,1.0,0.0,,3.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
75949,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,4,14,2024,114331,09600289,13,13110,46.0,31.0,6.0,3.0,6.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
75950,Consulta de Lactancia por profesional  - Enfermera/o,4,14,2024,114331,04040425,13,13110,47.0,24.0,12.0,10.0,1.0,0.0,0.0,5.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
78323,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,13,2024,113324,04040420,13,13105,39.0,16.0,14.0,7.0,2.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
78324,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,13,2024,113324,09600289,13,13105,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
78325,Consulta de Lactancia por profesional  - Nutricionista ,9,13,2024,113324,04040426,13,13105,43.0,20.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
79849,Consulta de Lactancia - Consulta Lactancia Materna de alerta,7,13,2024,113717,04040420,13,13105,5.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
79932,Consulta de Lactancia - Consulta Lactancia Materna de alerta,8,13,2024,113717,04040420,13,13105,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
79933,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,8,13,2024,113717,04040421,13,13105,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
82977,Consulta de Lactancia - Otras consultas de Lactancia Materna,8,13,2024,113717,09600287,13,13105,4.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
82978,Consulta de Lactancia por profesional  - Nutricionista ,8,13,2024,113717,04040426,13,13105,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
83183,Consulta de Lactancia - Consulta Lactancia Materna de alerta,12,13,2024,113717,04040420,13,13105,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
