,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
91,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,17,52,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
92,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,18,0,1,6,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
93,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,3,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
94,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,187,80,6,44,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
95,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,4,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
96,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,173,75,9,45,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
97,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,132,4,7,37,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
98,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,0,21,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
99,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,20,46,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
100,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,21,0,1,4,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
101,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,216,92,19,54,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
102,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,163,3,14,38,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
103,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,8,31,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
104,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,21,50,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
