,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
271,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,2,0,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
272,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,131,66,0,9,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
273,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,111,20,0,8,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
274,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,9,0,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
275,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,153,79,3,17,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
276,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,132,,2,16,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
277,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,7,38,1,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
278,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,146,28,3,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
279,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,0,9,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
280,RN egresados con madres serología positiva (VIH),14,114101,29101770,13,13201,1,,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
281,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,6,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
282,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,4,0,0,2,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
283,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,147,62,0,16,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
284,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,119,26,0,12,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
285,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,11,,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
286,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,12,,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
287,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
288,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
289,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,146,97,5,39,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
290,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,120,0,5,23,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
291,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,9,61,0,7,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
292,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,142,23,0,32,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
293,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,122,74,0,27,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
294,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,171,73,4,29,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
295,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,131,32,3,18,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
296,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,16,,1,4,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
297,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,165,,4,18,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
298,RN egresados con madres serología positiva (VIH),14,114101,29101770,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
299,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,5,0,0,2,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
300,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,134,106,28,20,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
301,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,100,0,20,5,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
302,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,17,40,4,6,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
303,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,130,51,27,15,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
304,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,4,0,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
305,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,157,72,11,29,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
306,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,116,0,8,19,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
307,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,17,46,1,6,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
308,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,56,20,11,29,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
309,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,0,6,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
310,RN egresados con madres serología positiva (HTLV-1),14,114101,29101771,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
311,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,6,0,1,2,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
312,Total de recién nacidos/as egresados/as,14,114101,24200134,13,13201,171,60,0,23,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
313,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,149,19,0,19,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
314,RN egresados con madres serología positiva (VIH),14,114101,29101770,13,13201,1,0,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
315,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
316,RN egresados con LME durante hospitalización y al alta,14,114101,24300103,13,13201,100,0,1,19,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
317,RN egresados que recuperaron LME al alta,14,114101,24311025,13,13201,8,44,0,6,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
318,RN egresados con lactancia mixta al alta,14,114101,24311026,13,13201,118,30,1,26,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
319,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114101,24311027,13,13201,0,8,0,1,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
320,RN egresados con madres acogidas a Ley 21.155,14,114101,29101772,13,13201,8,0,0,2,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
321,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,21,7,0,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
322,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,1,2,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
323,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,1,1,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
324,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,128,32,6,33,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
325,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,106,20,6,28,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
326,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,20,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
327,RN egresados con madres acogidas a Ley 21.155,14,114105,29101772,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
328,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,5,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
329,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
330,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,1,,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
331,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,96,4,0,30,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
332,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,31,19,0,10,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida
333,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,245,46,0,262,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
334,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,203,0,0,170,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
335,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,34,13,0,41,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
336,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,5,28,0,22,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
337,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,2,0,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
338,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,2,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
339,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,1,3,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
340,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,205,50,0,202,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
341,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,183,0,0,150,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
342,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,17,17,0,28,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
343,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,4,25,0,19,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
344,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,4,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
345,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
346,RN egresados con madres acogidas a Ley 21.155,11,111100,29101772,13,13101,1,0,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
347,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
348,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,24,17,0,33,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
349,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,6,22,0,19,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
350,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
351,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
352,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,5,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
353,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,203,46,1,217,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
354,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,173,0,1,133,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
355,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,3,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
356,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,3,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
357,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,236,59,0,262,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
358,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,175,0,0,147,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
359,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,54,17,0,49,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
360,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,7,35,0,32,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
361,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,2,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
362,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
363,RN egresados con madres acogidas a Ley 21.155,11,111100,29101772,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
364,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,220,60,1,241,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
365,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,164,0,1,126,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
366,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,51,19,1,53,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
367,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,5,31,0,23,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
368,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,2,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
369,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,2,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
370,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,4,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
371,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,188,42,0,162,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
372,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,149,0,0,116,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
373,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,30,13,0,29,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
374,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,9,21,0,22,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
375,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
376,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,3,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
377,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,213,54,0,230,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
378,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,150,0,0,123,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
379,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,55,18,0,56,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
380,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,8,29,0,29,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
381,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,2,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
382,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,2,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
383,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,4,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
384,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,198,58,1,231,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
385,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,162,0,1,151,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
386,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,29,21,0,38,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
387,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,5,23,0,21,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
388,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,1,4,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
389,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,2,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
390,RN egresados con madres acogidas a Ley 21.155,11,111100,29101772,13,13101,1,1,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
391,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,1,4,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
392,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,195,44,2,194,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
393,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,155,0,1,134,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
394,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,36,12,1,36,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
395,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,3,25,0,21,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
396,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
397,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
398,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,218,43,0,229,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
399,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,150,0,0,104,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
400,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,55,15,0,68,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
401,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,13,22,0,26,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
402,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,2,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
403,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,4,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
404,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,8,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
405,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,234,46,3,249,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
406,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,160,0,3,120,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
407,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,60,12,0,58,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
408,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,11,21,0,22,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
409,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
410,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,4,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
411,RN egresados con madres acogidas a Ley 21.155,11,111100,29101772,13,13101,3,0,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
412,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
413,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,221,59,1,250,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
414,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,159,0,0,117,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
415,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,55,28,1,78,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
416,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,6,24,0,27,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
