,descripcion_prestacion,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
1703911,RN egresados con madres serología positiva (VIH),6,9,2024,109100,29101770,13,13108,2.0,0.0,0.0,2.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1703912,RN egresados con madres acogidas a Ley 21.155,6,9,2024,109100,29101772,13,13108,1.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1703913,Egresados con lactancia materna exclusiva (código histórico),6,9,2024,109100,24200100,13,13108,284.0,31.0,0.0,125.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704389,Total de recién nacidos/as egresados/as,9,9,2024,109100,24200134,13,13108,350.0,81.0,0.0,211.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704390,RN egresados con LME durante hospitalización y al alta,9,9,2024,109100,24300103,13,13108,310.0,1.0,0.0,152.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704391,RN egresados con madres serología positiva (VIH),9,9,2024,109100,29101770,13,13108,3.0,0.0,0.0,3.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704392,RN egresados con madres acogidas a Ley 21.155,9,9,2024,109100,29101772,13,13108,4.0,0.0,0.0,3.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704393,Egresados con lactancia materna exclusiva (código histórico),9,9,2024,109100,24200100,13,13108,315.0,42.0,0.0,173.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704637,Total de recién nacidos/as egresados/as,10,9,2024,109100,24200134,13,13108,378.0,84.0,0.0,243.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704638,RN egresados con LME durante hospitalización y al alta,10,9,2024,109100,24300103,13,13108,340.0,1.0,0.0,179.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704639,RN egresados con madres serología positiva (VIH),10,9,2024,109100,29101770,13,13108,1.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704640,Egresados con lactancia materna exclusiva (código histórico),10,9,2024,109100,24200100,13,13108,344.0,42.0,0.0,192.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704871,Total de recién nacidos/as egresados/as,11,9,2024,109100,24200134,13,13108,351.0,92.0,0.0,208.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704872,RN egresados con LME durante hospitalización y al alta,11,9,2024,109100,24300103,13,13108,296.0,1.0,0.0,145.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704873,RN egresados con madres acogidas a Ley 21.155,11,9,2024,109100,29101772,13,13108,6.0,0.0,0.0,3.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1704874,Egresados con lactancia materna exclusiva (código histórico),11,9,2024,109100,24200100,13,13108,311.0,33.0,0.0,162.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1705384,Total de recién nacidos/as egresados/as,8,9,2024,109100,24200134,13,13108,380.0,102.0,0.0,208.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1705385,RN egresados con LME durante hospitalización y al alta,8,9,2024,109100,24300103,13,13108,334.0,2.0,0.0,162.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1705386,RN egresados con madres acogidas a Ley 21.155,8,9,2024,109100,29101772,13,13108,5.0,0.0,0.0,3.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1705387,Egresados con lactancia materna exclusiva (código histórico),8,9,2024,109100,24200100,13,13108,342.0,27.0,0.0,178.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1707733,Total de recién nacidos/as egresados/as,3,9,2024,109100,24200134,13,13108,392.0,104.0,0.0,270.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1707734,RN egresados con LME durante hospitalización y al alta,3,9,2024,109100,24300103,13,13108,302.0,2.0,0.0,151.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1707735,RN egresados con madres serología positiva (VIH),3,9,2024,109100,29101770,13,13108,2.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1707736,Egresados con lactancia materna exclusiva (código histórico),3,9,2024,109100,24200100,13,13108,329.0,47.0,0.0,191.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1707946,RN egresados con madres serología positiva (VIH),4,9,2024,109100,29101770,13,13108,1.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1707947,RN egresados con madres acogidas a Ley 21.155,4,9,2024,109100,29101772,13,13108,3.0,0.0,0.0,3.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1707948,Egresados con lactancia materna exclusiva (código histórico),4,9,2024,109100,24200100,13,13108,344.0,37.0,0.0,172.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1708056,Total de recién nacidos/as egresados/as,4,9,2024,109100,24200134,13,13108,394.0,37.0,0.0,187.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1708057,RN egresados con LME durante hospitalización y al alta,4,9,2024,109100,24300103,13,13108,319.0,1.0,0.0,145.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1710154,Total de recién nacidos/as egresados/as,5,9,2024,109100,24200134,13,13108,396.0,118.0,0.0,236.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1710160,RN egresados con LME durante hospitalización y al alta,5,9,2024,109100,24300103,13,13108,313.0,1.0,0.0,147.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1710179,RN egresados con madres serología positiva (VIH),5,9,2024,109100,29101770,13,13108,4.0,0.0,0.0,3.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
